FIELD DEFINITIONS,,,,DATA POPULATION REQUIREMENTS,,FIELD-LEVEL TECHNICAL SPECS,,,HL7 V2 Specification,,
37, Administration address: street,admin_address_street,"The street component of where the vaccine is being administered/planned to be administered. For long-term care facilities, the recipient's address will be the same as the administration address. For mobile clinics, the administration address should be where the clinic is being held.",Required if known for this vaccination event,Required if known for this refusal,n/a,String,123 Long Road,RXA-11-9,"Administered-at Location
- Street Address",ST
38, Administration address: street 2,admin_address_street_2,"The street 2 component of where the vaccine is being administered/planned to be administered. For long-term care facilities, the recipient's address will be the same as the administration address. For mobile clinics, the administration address should be where the clinic is being held.",Required if known for this vaccination event,Required if known for this refusal,n/a,String,Suite #300,RXA-11-10,"Administered-at Location
- Other Designation",ST
39, Administration address: city,admin_address_city,"The city component of where the vaccine is being administered/planned to be administered. For long-term care facilities, the recipient's address will be the same as the administration address. For mobile clinics, the administration address should be where the clinic is being held.",Required if known for this vaccination event,Required if known for this refusal,n/a,String,Atlanta,RXA-11-11,"Administered-at Location
- City",ST
40, Administration address: county,admin_address_county,"The county component of where the vaccine is being administered/planned to be administered. For long-term care facilities, the recipient's address will be the same as the administration address. For mobile clinics, the administration address should be where the clinic is being held.",Required if known for this vaccination event,Required if known for this refusal,FIPS codes https://www.census.gov/geographies/reference-files/2019/demo/popest/2019-fips.html,Coded Value,13121,RXA-11-16,"Administered-at Location
- Other Geographic Designation",ST
41, Administration address: state,admin_address_state,"The state component of where the vaccine is being administered/planned to be administered. For long-term care facilities, the recipient's address will be the same as the administration address. For mobile clinics, the administration address should be where the clinic is being held.",Required if known for this vaccination event,Required if known for this refusal,US Postal Service two-character state codes,Coded Value,GA,RXA-11-12,"Administered-at Location
- State or Province",ST
42, Administration address: zip code,admin_address_zip,"The zip code component of where the vaccine is being administered/planned to be administered. For long-term care facilities, the recipient's address will be the same as the administration address. For mobile clinics, the administration address should be where the clinic is being held.",Required if known for this vaccination event,Required if known for this refusal,n/a,String,30301,RXA-11-13,"Administered-at Location
- Zip or Postal Code",ST
43, Vaccination refusal,vax_refusal,"Vaccination was refused, select 'Yes'. If the vaccine was administered, select 'No'",Required. Set to the value 'No',Required. Set to the value 'Yes',"Locally Defined Value Set:
YES (Yes)
NO (No)",Coded Value,NO,"RXA-20
Value=RE^Refused",Completion Status,ID
44, Comorbidity status,cmorbid_status,"Report if the recipient has a comorbidity. Recepients are a member of a special risk group that are at increased risk of severe illness.

If the recipient has at least one of the conditions listed on  https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/people-with-medical-conditions.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fneed-extra-precautions%2Fgroups-at-higher-risk.html for ""are at increased risk"", select Yes. If they do not have any of those conditions or have ""No Existing Conditions"" then select No.

Example conditions for CDC as of October 23,2020: Cancer, Chronic Kidney Disease, Immunicompromised, Chronic Lung Disease, Obesity, Sickle Cell Disease, Diabetes

If unknown or you do not collect this information, please select ""UNK""",Required,Required,"Locally Defined Value Set:
YES (Yes)
NO (No)
UNK (Unknown)",Coded Value,YES,"OBX-5-1
OBX-3 must be VXC8^Member of Special Risk Group^PHIN VS",Observation Value,ST
45, Serology results ,serology,"Report if there was a positive Serology (Antibody test) result. If the provider knows of any positive serology results, they should report it regardless of if they conducted the test.

If you do not collect, please populate with UNK",Required,Required,"Locally Defined Value Set:
YES (Yes)
NO (No)
UNK (Unknown)",Coded Value,UNK,"OBX-5-1 where 
YES: value=TBD
NO:value=TBD
UNK:value=UNK^Unknown^NullFlavor

OBX-3 must be 75505-8^Serological Evidence of Immunity^LOINC",Observation Value,ST
,,,,,,,,,,,
